Latitude,Longitude,Elevation,Slope Angle
-26.723285,27.819669,1486.0,0.0
-26.722619,27.819531,1486.0,0.022953137964717006
-26.722234,27.81945,1487.0,0.0
-26.721748,27.819326,1487.0,0.11836895191410579
-26.721528,27.819264,1490.0,0.0
-26.721109,27.819129,1490.0,0.0
-26.720838,27.819038,1490.0,-0.05892680160878268
-26.720694,27.818982,1489.0,0.0
-26.720021,27.818726,1489.0,-0.04223440869888648
-26.719615,27.818583,1487.0,0.0
-26.719452,27.818528,1487.0,0.0
-26.719278,27.818475,1487.0,-0.047467989036898695
-26.719093,27.81843,1486.0,0.0
-26.71898,27.818409,1486.0,0.0
-26.718842,27.81839,1486.0,0.0
-26.718677,27.81837,1486.0,0.0
-26.718519,27.818363,1486.0,0.06134326445237628
-26.71808,27.818346,1489.0,-0.05927526938208557
-26.717627,27.818303,1486.0,0.020449669454751063
-26.717188,27.818275,1487.0,0.0
-26.7169,27.818241,1487.0,-0.06674120590351833
-26.716631,27.818233,1485.0,-0.008858245783579929
-26.715631,27.818037,1484.0,0.009359065765273901
-26.714703,27.817758,1485.0,0.03177784510539911
-26.714152,27.817614,1487.0,-0.07199465872522824
-26.713668,27.817479,1483.0,0.0
-26.713475,27.817419,1483.0,-0.0800755093335098
-26.713259,27.817352,1481.0,0.0
-26.712413,27.817046,1481.0,0.0
-26.711983,27.816895,1481.0,0.0
-26.711738,27.8168,1481.0,0.16919131488678746
-26.711543,27.816711,1485.0,-0.3032977749787049
-26.711359,27.81662,1478.0,0.0
-26.710987,27.816404,1478.0,0.013935155266306265
-26.710421,27.816057,1479.0,-0.06889400591552608
-26.709945,27.815819,1475.0,0.0
-26.709388,27.815464,1475.0,0.0
-26.709214,27.815343,1475.0,0.038126105709138935
-26.708401,27.814808,1479.0,-0.007403143351297544
-26.707334,27.814158,1478.0,0.0
-26.70717,27.814065,1478.0,0.0
-26.707,27.813979,1478.0,0.0
-26.706816,27.813891,1478.0,0.013021825599023474
-26.706173,27.813609,1479.0,0.0
-26.705999,27.813523,1479.0,0.0
-26.705859,27.813455,1479.0,0.06868197115864849
-26.705741,27.813392,1480.0,0.033658298944375414
-26.705505,27.813252,1481.0,0.0
-26.705053,27.813012,1481.0,0.23260345540799876
-26.704856,27.812884,1487.0,0.0
-26.704686,27.812779,1487.0,0.0
-26.704565,27.8127,1487.0,0.0
-26.704509,27.812632,1487.0,0.0
-26.704469,27.812594,1487.0,0.0
-26.704411,27.81255,1487.0,0.19962095032933497
-26.704302,27.812464,1490.0,0.0
-26.704185,27.812386,1490.0,-0.23523543399563426
-26.704087,27.812324,1487.0,0.0
-26.704002,27.812275,1487.0,0.0
-26.70391,27.812212,1487.0,0.0
-26.703809,27.812149,1487.0,0.0
-26.703682,27.812073,1487.0,0.0
-26.703577,27.812012,1487.0,0.0
-26.703509,27.811976,1487.0,0.0
-26.703436,27.811929,1487.0,0.16384986142272495
-26.703293,27.811841,1490.0,0.0
-26.703184,27.811771,1490.0,0.0
-26.703154,27.811751,1490.0,0.0
-26.703115,27.811731,1490.0,0.0
-26.70307,27.811705,1490.0,0.0
-26.703025,27.811682,1490.0,0.7605357023709304
-26.702947,27.811644,1499.0,0.0
-26.702901,27.81163,1499.0,0.0
-26.702838,27.811623,1499.0,-0.08292172825292259
-26.702461,27.811385,1495.0,0.0
-26.70195,27.811057,1495.0,-0.03505971977865278
-26.701278,27.810638,1492.0,0.006770819768333347
-26.700126,27.809898,1493.0,0.01688499697991048
-26.697804,27.808439,1498.0,-0.008640931740272232
-26.696904,27.807854,1497.0,0.0187858459543591
-26.696497,27.807572,1498.0,0.0
-26.69619,27.807361,1498.0,0.0
-26.696081,27.807288,1498.0,0.0
-26.696027,27.807216,1498.0,0.0
-26.695972,27.807162,1498.0,0.04678082686283804
-26.695812,27.807043,1499.0,0.0
-26.695668,27.806956,1499.0,-0.016769044251416843
-26.695202,27.806659,1498.0,0.0
-26.695135,27.80661,1498.0,0.036392403351337727
-26.694922,27.80647,1499.0,0.0
-26.694601,27.80628,1499.0,0.0
-26.694402,27.806169,1499.0,0.0
-26.694338,27.806143,1499.0,0.0
-26.694232,27.806111,1499.0,0.0
-26.694203,27.80609,1499.0,-0.029124147093030142
-26.693174,27.805326,1495.0,0.011169695901798293
-26.691161,27.803832,1498.0,0.0
-26.691135,27.803787,1498.0,0.0
-26.691093,27.803736,1498.0,0.0
-26.691052,27.80369,1498.0,0.0
-26.690899,27.803571,1498.0,0.025772498119051784
-26.690612,27.803349,1499.0,-0.23759027033714109
-26.690552,27.8033,1497.0,0.0
-26.690475,27.803238,1497.0,0.0
-26.690186,27.803035,1497.0,0.0
-26.690066,27.802945,1497.0,0.015588415473228095
-26.689592,27.802577,1498.0,-0.11607727047105884
-26.689264,27.80235,1493.0,0.0
-26.68919,27.802308,1493.0,0.0
-26.689131,27.802281,1493.0,0.0
-26.689076,27.802261,1493.0,0.0
-26.689024,27.802248,1493.0,0.03154300833560671
-26.687853,27.801339,1498.0,0.0
-26.687422,27.801022,1498.0,-0.06732307244171029
-26.686975,27.800696,1494.0,0.016573426620186238
-26.685608,27.799707,1497.0,-0.011855067823214698
-26.682453,27.797351,1492.0,0.0
-26.682373,27.797209,1492.0,0.0
-26.682268,27.797124,1492.0,0.0
-26.682093,27.79699,1492.0,0.0
-26.681846,27.796818,1492.0,-0.03615306140633818
